[2025-09-23 15:40:10 Adversarial_attack_defense] INFO: Loading xcitm_sota...
[2025-09-23 15:50:06 Adversarial_attack_defense] INFO: Epoch 36/50 - Train Loss: 2.3053, Train Acc: 9.50%, Val Loss: 2.3033, Val Acc: 10.00%
[2025-09-23 15:50:21 Adversarial_attack_defense] INFO: Epoch 37/50 - Train Loss: 2.3049, Train Acc: 8.50%, Val Loss: 2.3029, Val Acc: 10.00%
[2025-09-23 15:50:37 Adversarial_attack_defense] INFO: Epoch 38/50 - Train Loss: 2.3053, Train Acc: 8.43%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:50:53 Adversarial_attack_defense] INFO: Epoch 39/50 - Train Loss: 2.3051, Train Acc: 9.07%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:51:08 Adversarial_attack_defense] INFO: Epoch 40/50 - Train Loss: 2.3039, Train Acc: 8.86%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:51:25 Adversarial_attack_defense] INFO: Epoch 41/50 - Train Loss: 2.3045, Train Acc: 8.64%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:51:39 Adversarial_attack_defense] INFO: Epoch 42/50 - Train Loss: 2.3044, Train Acc: 8.86%, Val Loss: 2.3027, Val Acc: 10.00%
[2025-09-23 15:51:54 Adversarial_attack_defense] INFO: Epoch 43/50 - Train Loss: 2.3035, Train Acc: 9.64%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:52:08 Adversarial_attack_defense] INFO: Epoch 44/50 - Train Loss: 2.3036, Train Acc: 9.86%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:52:23 Adversarial_attack_defense] INFO: Epoch 45/50 - Train Loss: 2.3033, Train Acc: 8.64%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:52:38 Adversarial_attack_defense] INFO: Epoch 46/50 - Train Loss: 2.3029, Train Acc: 9.14%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:52:53 Adversarial_attack_defense] INFO: Epoch 47/50 - Train Loss: 2.3029, Train Acc: 9.86%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:53:08 Adversarial_attack_defense] INFO: Epoch 48/50 - Train Loss: 2.3027, Train Acc: 9.79%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:53:23 Adversarial_attack_defense] INFO: Epoch 49/50 - Train Loss: 2.3026, Train Acc: 9.14%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:53:38 Adversarial_attack_defense] INFO: Epoch 50/50 - Train Loss: 2.3026, Train Acc: 10.00%, Val Loss: 2.3026, Val Acc: 10.00%
[2025-09-23 15:53:38 Adversarial_attack_defense] INFO: Training complete. Best val acc: 10.00%
