[2025-09-22 19:05:57 Adversarial_attack_defense] INFO: Epoch 38/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:06:14 Adversarial_attack_defense] INFO: Epoch 39/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:06:31 Adversarial_attack_defense] INFO: Epoch 40/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:06:48 Adversarial_attack_defense] INFO: Epoch 41/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:07:04 Adversarial_attack_defense] INFO: Epoch 42/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:07:20 Adversarial_attack_defense] INFO: Epoch 43/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:07:37 Adversarial_attack_defense] INFO: Epoch 44/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:07:53 Adversarial_attack_defense] INFO: Epoch 45/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:08:11 Adversarial_attack_defense] INFO: Epoch 46/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:08:28 Adversarial_attack_defense] INFO: Epoch 47/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:08:46 Adversarial_attack_defense] INFO: Epoch 48/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:09:03 Adversarial_attack_defense] INFO: Epoch 49/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:09:21 Adversarial_attack_defense] INFO: Epoch 50/50 - Train Loss: nan, Train Acc: 10.00%, Val Loss: nan, Val Acc: 10.00%
[2025-09-22 19:09:21 Adversarial_attack_defense] INFO: Training complete. Best val acc: 18.00%
